name,name_id,serving_size,calories,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,food_type,source
Paha Ayam Saus Tiram,Paha Ayam Saus Tiram,100 g,188.5,20.0,0.0,11.2,0.0,65,0.0,base_food,generated-v2
Paha Ayam Lada Hitam,Paha Ayam Lada Hitam,100 g,181.2,20.0,0.0,12.6,0.0,65,0.0,base_food,generated-v2
Paha Ayam Tepung Goreng,Paha Ayam Tepung Goreng,100 g,290.0,16.0,0.0,35.0,0.0,65,0.0,base_food,generated-v2
Sayap Ayam Rebus,Sayap Ayam Rebus,100 g,160.0,18.0,0.0,10.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Kukus,Sayap Ayam Kukus,100 g,168.0,18.4,0.0,10.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Bakar,Sayap Ayam Bakar,100 g,184.0,18.9,0.0,12.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Goreng,Sayap Ayam Goreng,100 g,288.0,15.3,0.0,40.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Tumis,Sayap Ayam Tumis,100 g,240.0,16.2,0.0,30.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Panggang,Sayap Ayam Panggang,100 g,192.0,19.4,0.0,13.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Pepes,Sayap Ayam Pepes,100 g,176.0,18.9,0.0,11.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Bacem,Sayap Ayam Bacem,100 g,208.0,16.2,0.0,11.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Balado,Sayap Ayam Balado,100 g,224.0,16.6,0.0,25.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Rica-Rica,Sayap Ayam Rica-Rica,100 g,216.0,16.7,0.0,23.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Kecap,Sayap Ayam Kecap,100 g,208.0,17.1,0.0,14.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Semur,Sayap Ayam Semur,100 g,216.0,16.7,0.0,18.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Opor,Sayap Ayam Opor,100 g,232.0,16.2,0.0,30.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Gulai,Sayap Ayam Gulai,100 g,240.0,15.8,0.0,35.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Kari,Sayap Ayam Kari,100 g,232.0,16.2,0.0,32.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Asam Manis,Sayap Ayam Asam Manis,100 g,200.0,17.1,0.0,15.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Saus Tiram,Sayap Ayam Saus Tiram,100 g,208.0,18.0,0.0,16.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Lada Hitam,Sayap Ayam Lada Hitam,100 g,200.0,18.0,0.0,18.0,0.0,55,0.0,base_food,generated-v2
Sayap Ayam Tepung Goreng,Sayap Ayam Tepung Goreng,100 g,320.0,14.4,0.0,50.0,0.0,55,0.0,base_food,generated-v2
Ayam Utuh Rebus,Ayam Utuh Rebus,100 g,150.0,21.0,0.0,7.0,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Kukus,Ayam Utuh Kukus,100 g,157.5,21.4,0.0,7.0,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Bakar,Ayam Utuh Bakar,100 g,172.5,22.1,0.0,8.4,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Goreng,Ayam Utuh Goreng,100 g,270.0,17.8,0.0,28.0,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Tumis,Ayam Utuh Tumis,100 g,225.0,18.9,0.0,21.0,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Panggang,Ayam Utuh Panggang,100 g,180.0,22.7,0.0,9.1,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Pepes,Ayam Utuh Pepes,100 g,165.0,22.1,0.0,7.7,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Bacem,Ayam Utuh Bacem,100 g,195.0,18.9,0.0,7.7,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Balado,Ayam Utuh Balado,100 g,210.0,19.3,0.0,17.5,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Rica-Rica,Ayam Utuh Rica-Rica,100 g,202.5,19.5,0.0,16.1,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Kecap,Ayam Utuh Kecap,100 g,195.0,19.9,0.0,9.8,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Semur,Ayam Utuh Semur,100 g,202.5,19.5,0.0,12.6,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Opor,Ayam Utuh Opor,100 g,217.5,18.9,0.0,21.0,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Gulai,Ayam Utuh Gulai,100 g,225.0,18.5,0.0,24.5,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Kari,Ayam Utuh Kari,100 g,217.5,18.9,0.0,22.4,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Asam Manis,Ayam Utuh Asam Manis,100 g,187.5,19.9,0.0,10.5,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Saus Tiram,Ayam Utuh Saus Tiram,100 g,195.0,21.0,0.0,11.2,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Lada Hitam,Ayam Utuh Lada Hitam,100 g,187.5,21.0,0.0,12.6,0.0,60,0.0,base_food,generated-v2
Ayam Utuh Tepung Goreng,Ayam Utuh Tepung Goreng,100 g,300.0,16.8,0.0,35.0,0.0,60,0.0,base_food,generated-v2
Hati Ayam Rebus,Hati Ayam Rebus,100 g,135.0,22.0,0.5,5.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Kukus,Hati Ayam Kukus,100 g,141.8,22.4,0.5,5.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Bakar,Hati Ayam Bakar,100 g,155.2,23.1,0.5,6.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Goreng,Hati Ayam Goreng,100 g,243.0,18.7,0.6,20.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Tumis,Hati Ayam Tumis,100 g,202.5,19.8,0.6,15.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Panggang,Hati Ayam Panggang,100 g,162.0,23.8,0.5,6.5,0.0,45,0.0,base_food,generated-v2
Hati Ayam Pepes,Hati Ayam Pepes,100 g,148.5,23.1,0.5,5.5,0.0,45,0.0,base_food,generated-v2
Hati Ayam Bacem,Hati Ayam Bacem,100 g,175.5,19.8,0.8,5.5,0.0,45,0.0,base_food,generated-v2
Hati Ayam Balado,Hati Ayam Balado,100 g,189.0,20.2,0.6,12.5,0.0,45,0.0,base_food,generated-v2
Hati Ayam Rica-Rica,Hati Ayam Rica-Rica,100 g,182.2,20.5,0.6,11.5,0.0,45,0.0,base_food,generated-v2
Hati Ayam Kecap,Hati Ayam Kecap,100 g,175.5,20.9,0.7,7.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Semur,Hati Ayam Semur,100 g,182.2,20.5,0.7,9.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Opor,Hati Ayam Opor,100 g,195.8,19.8,0.6,15.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Gulai,Hati Ayam Gulai,100 g,202.5,19.4,0.6,17.5,0.0,45,0.0,base_food,generated-v2
Hati Ayam Kari,Hati Ayam Kari,100 g,195.8,19.8,0.6,16.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Asam Manis,Hati Ayam Asam Manis,100 g,168.8,20.9,0.6,7.5,0.0,45,0.0,base_food,generated-v2
Hati Ayam Saus Tiram,Hati Ayam Saus Tiram,100 g,175.5,22.0,0.6,8.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Lada Hitam,Hati Ayam Lada Hitam,100 g,168.8,22.0,0.5,9.0,0.0,45,0.0,base_food,generated-v2
Hati Ayam Tepung Goreng,Hati Ayam Tepung Goreng,100 g,270.0,17.6,0.7,25.0,0.0,45,0.0,base_food,generated-v2
Ampela Ayam Rebus,Ampela Ayam Rebus,100 g,120.0,24.0,0.5,2.0,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Kukus,Ampela Ayam Kukus,100 g,126.0,24.5,0.5,2.0,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Bakar,Ampela Ayam Bakar,100 g,138.0,25.2,0.5,2.4,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Goreng,Ampela Ayam Goreng,100 g,216.0,20.4,0.6,8.0,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Tumis,Ampela Ayam Tumis,100 g,180.0,21.6,0.6,6.0,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Panggang,Ampela Ayam Panggang,100 g,144.0,25.9,0.5,2.6,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Pepes,Ampela Ayam Pepes,100 g,132.0,25.2,0.5,2.2,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Bacem,Ampela Ayam Bacem,100 g,156.0,21.6,0.8,2.2,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Balado,Ampela Ayam Balado,100 g,168.0,22.1,0.6,5.0,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Rica-Rica,Ampela Ayam Rica-Rica,100 g,162.0,22.3,0.6,4.6,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Kecap,Ampela Ayam Kecap,100 g,156.0,22.8,0.7,2.8,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Semur,Ampela Ayam Semur,100 g,162.0,22.3,0.7,3.6,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Opor,Ampela Ayam Opor,100 g,174.0,21.6,0.6,6.0,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Gulai,Ampela Ayam Gulai,100 g,180.0,21.1,0.6,7.0,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Kari,Ampela Ayam Kari,100 g,174.0,21.6,0.6,6.4,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Asam Manis,Ampela Ayam Asam Manis,100 g,150.0,22.8,0.6,3.0,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Saus Tiram,Ampela Ayam Saus Tiram,100 g,156.0,24.0,0.6,3.2,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Lada Hitam,Ampela Ayam Lada Hitam,100 g,150.0,24.0,0.5,3.6,0.0,50,0.0,base_food,generated-v2
Ampela Ayam Tepung Goreng,Ampela Ayam Tepung Goreng,100 g,240.0,19.2,0.7,10.0,0.0,50,0.0,base_food,generated-v2
Daging Sapi Rebus,Daging Sapi Rebus,100 g,180.0,26.0,0.0,8.0,0.0,55,0.0,base_food,generated-v2
Daging Sapi Kukus,Daging Sapi Kukus,100 g,189.0,26.5,0.0,8.0,0.0,55,0.0,base_food,generated-v2
Daging Sapi Bakar,Daging Sapi Bakar,100 g,207.0,27.3,0.0,9.6,0.0,55,0.0,base_food,generated-v2
Daging Sapi Goreng,Daging Sapi Goreng,100 g,324.0,22.1,0.0,32.0,0.0,55,0.0,base_food,generated-v2
Daging Sapi Tumis,Daging Sapi Tumis,100 g,270.0,23.4,0.0,24.0,0.0,55,0.0,base_food,generated-v2
Daging Sapi Panggang,Daging Sapi Panggang,100 g,216.0,28.1,0.0,10.4,0.0,55,0.0,base_food,generated-v2
Daging Sapi Pepes,Daging Sapi Pepes,100 g,198.0,27.3,0.0,8.8,0.0,55,0.0,base_food,generated-v2
Daging Sapi Bacem,Daging Sapi Bacem,100 g,234.0,23.4,0.0,8.8,0.0,55,0.0,base_food,generated-v2
Daging Sapi Balado,Daging Sapi Balado,100 g,252.0,23.9,0.0,20.0,0.0,55,0.0,base_food,generated-v2
Daging Sapi Rica-Rica,Daging Sapi Rica-Rica,100 g,243.0,24.2,0.0,18.4,0.0,55,0.0,base_food,generated-v2
Daging Sapi Kecap,Daging Sapi Kecap,100 g,234.0,24.7,0.0,11.2,0.0,55,0.0,base_food,generated-v2
Daging Sapi Semur,Daging Sapi Semur,100 g,243.0,24.2,0.0,14.4,0.0,55,0.0,base_food,generated-v2
Daging Sapi Opor,Daging Sapi Opor,100 g,261.0,23.4,0.0,24.0,0.0,55,0.0,base_food,generated-v2
Daging Sapi Gulai,Daging Sapi Gulai,100 g,270.0,22.9,0.0,28.0,0.0,55,0.0,base_food,generated-v2
Daging Sapi Kari,Daging Sapi Kari,100 g,261.0,23.4,0.0,25.6,0.0,55,0.0,base_food,generated-v2
Daging Sapi Asam Manis,Daging Sapi Asam Manis,100 g,225.0,24.7,0.0,12.0,0.0,55,0.0,base_food,generated-v2
Daging Sapi Saus Tiram,Daging Sapi Saus Tiram,100 g,234.0,26.0,0.0,12.8,0.0,55,0.0,base_food,generated-v2
Daging Sapi Lada Hitam,Daging Sapi Lada Hitam,100 g,225.0,26.0,0.0,14.4,0.0,55,0.0,base_food,generated-v2
Daging Sapi Tepung Goreng,Daging Sapi Tepung Goreng,100 g,360.0,20.8,0.0,40.0,0.0,55,0.0,base_food,generated-v2
Daging Sapi Giling Rebus,Daging Sapi Giling Rebus,100 g,220.0,22.0,0.0,14.0,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Kukus,Daging Sapi Giling Kukus,100 g,231.0,22.4,0.0,14.0,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Bakar,Daging Sapi Giling Bakar,100 g,253.0,23.1,0.0,16.8,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Goreng,Daging Sapi Giling Goreng,100 g,396.0,18.7,0.0,56.0,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Tumis,Daging Sapi Giling Tumis,100 g,330.0,19.8,0.0,42.0,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Panggang,Daging Sapi Giling Panggang,100 g,264.0,23.8,0.0,18.2,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Pepes,Daging Sapi Giling Pepes,100 g,242.0,23.1,0.0,15.4,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Bacem,Daging Sapi Giling Bacem,100 g,286.0,19.8,0.0,15.4,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Balado,Daging Sapi Giling Balado,100 g,308.0,20.2,0.0,35.0,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Rica-Rica,Daging Sapi Giling Rica-Rica,100 g,297.0,20.5,0.0,32.2,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Kecap,Daging Sapi Giling Kecap,100 g,286.0,20.9,0.0,19.6,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Semur,Daging Sapi Giling Semur,100 g,297.0,20.5,0.0,25.2,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Opor,Daging Sapi Giling Opor,100 g,319.0,19.8,0.0,42.0,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Gulai,Daging Sapi Giling Gulai,100 g,330.0,19.4,0.0,49.0,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Kari,Daging Sapi Giling Kari,100 g,319.0,19.8,0.0,44.8,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Asam Manis,Daging Sapi Giling Asam Manis,100 g,275.0,20.9,0.0,21.0,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Saus Tiram,Daging Sapi Giling Saus Tiram,100 g,286.0,22.0,0.0,22.4,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Lada Hitam,Daging Sapi Giling Lada Hitam,100 g,275.0,22.0,0.0,25.2,0.0,60,0.0,base_food,generated-v2
Daging Sapi Giling Tepung Goreng,Daging Sapi Giling Tepung Goreng,100 g,440.0,17.6,0.0,70.0,0.0,60,0.0,base_food,generated-v2
Daging Kambing Rebus,Daging Kambing Rebus,100 g,170.0,24.0,0.0,7.5,0.0,75,0.0,base_food,generated-v2
Daging Kambing Kukus,Daging Kambing Kukus,100 g,178.5,24.5,0.0,7.5,0.0,75,0.0,base_food,generated-v2
Daging Kambing Bakar,Daging Kambing Bakar,100 g,195.5,25.2,0.0,9.0,0.0,75,0.0,base_food,generated-v2
Daging Kambing Goreng,Daging Kambing Goreng,100 g,306.0,20.4,0.0,30.0,0.0,75,0.0,base_food,generated-v2
Daging Kambing Tumis,Daging Kambing Tumis,100 g,255.0,21.6,0.0,22.5,0.0,75,0.0,base_food,generated-v2
Daging Kambing Panggang,Daging Kambing Panggang,100 g,204.0,25.9,0.0,9.8,0.0,75,0.0,base_food,generated-v2
Daging Kambing Pepes,Daging Kambing Pepes,100 g,187.0,25.2,0.0,8.2,0.0,75,0.0,base_food,generated-v2
Daging Kambing Bacem,Daging Kambing Bacem,100 g,221.0,21.6,0.0,8.2,0.0,75,0.0,base_food,generated-v2
Daging Kambing Balado,Daging Kambing Balado,100 g,238.0,22.1,0.0,18.8,0.0,75,0.0,base_food,generated-v2
Daging Kambing Rica-Rica,Daging Kambing Rica-Rica,100 g,229.5,22.3,0.0,17.2,0.0,75,0.0,base_food,generated-v2
Daging Kambing Kecap,Daging Kambing Kecap,100 g,221.0,22.8,0.0,10.5,0.0,75,0.0,base_food,generated-v2
Daging Kambing Semur,Daging Kambing Semur,100 g,229.5,22.3,0.0,13.5,0.0,75,0.0,base_food,generated-v2
Daging Kambing Opor,Daging Kambing Opor,100 g,246.5,21.6,0.0,22.5,0.0,75,0.0,base_food,generated-v2
Daging Kambing Gulai,Daging Kambing Gulai,100 g,255.0,21.1,0.0,26.2,0.0,75,0.0,base_food,generated-v2
Daging Kambing Kari,Daging Kambing Kari,100 g,246.5,21.6,0.0,24.0,0.0,75,0.0,base_food,generated-v2
Daging Kambing Asam Manis,Daging Kambing Asam Manis,100 g,212.5,22.8,0.0,11.2,0.0,75,0.0,base_food,generated-v2
Daging Kambing Saus Tiram,Daging Kambing Saus Tiram,100 g,221.0,24.0,0.0,12.0,0.0,75,0.0,base_food,generated-v2
Daging Kambing Lada Hitam,Daging Kambing Lada Hitam,100 g,212.5,24.0,0.0,13.5,0.0,75,0.0,base_food,generated-v2
Daging Kambing Tepung Goreng,Daging Kambing Tepung Goreng,100 g,340.0,19.2,0.0,37.5,0.0,75,0.0,base_food,generated-v2
Iga Sapi Rebus,Iga Sapi Rebus,100 g,230.0,20.0,0.0,16.0,0.0,50,0.0,base_food,generated-v2
Iga Sapi Kukus,Iga Sapi Kukus,100 g,241.5,20.4,0.0,16.0,0.0,50,0.0,base_food,generated-v2
Iga Sapi Bakar,Iga Sapi Bakar,100 g,264.5,21.0,0.0,19.2,0.0,50,0.0,base_food,generated-v2
Iga Sapi Goreng,Iga Sapi Goreng,100 g,414.0,17.0,0.0,64.0,0.0,50,0.0,base_food,generated-v2
Iga Sapi Tumis,Iga Sapi Tumis,100 g,345.0,18.0,0.0,48.0,0.0,50,0.0,base_food,generated-v2
Iga Sapi Panggang,Iga Sapi Panggang,100 g,276.0,21.6,0.0,20.8,0.0,50,0.0,base_food,generated-v2
Iga Sapi Pepes,Iga Sapi Pepes,100 g,253.0,21.0,0.0,17.6,0.0,50,0.0,base_food,generated-v2
Iga Sapi Bacem,Iga Sapi Bacem,100 g,299.0,18.0,0.0,17.6,0.0,50,0.0,base_food,generated-v2
Iga Sapi Balado,Iga Sapi Balado,100 g,322.0,18.4,0.0,40.0,0.0,50,0.0,base_food,generated-v2
Iga Sapi Rica-Rica,Iga Sapi Rica-Rica,100 g,310.5,18.6,0.0,36.8,0.0,50,0.0,base_food,generated-v2
Iga Sapi Kecap,Iga Sapi Kecap,100 g,299.0,19.0,0.0,22.4,0.0,50,0.0,base_food,generated-v2
Iga Sapi Semur,Iga Sapi Semur,100 g,310.5,18.6,0.0,28.8,0.0,50,0.0,base_food,generated-v2
Iga Sapi Opor,Iga Sapi Opor,100 g,333.5,18.0,0.0,48.0,0.0,50,0.0,base_food,generated-v2
Iga Sapi Gulai,Iga Sapi Gulai,100 g,345.0,17.6,0.0,56.0,0.0,50,0.0,base_food,generated-v2
Iga Sapi Kari,Iga Sapi Kari,100 g,333.5,18.0,0.0,51.2,0.0,50,0.0,base_food,generated-v2
Iga Sapi Asam Manis,Iga Sapi Asam Manis,100 g,287.5,19.0,0.0,24.0,0.0,50,0.0,base_food,generated-v2
Iga Sapi Saus Tiram,Iga Sapi Saus Tiram,100 g,299.0,20.0,0.0,25.6,0.0,50,0.0,base_food,generated-v2
Iga Sapi Lada Hitam,Iga Sapi Lada Hitam,100 g,287.5,20.0,0.0,28.8,0.0,50,0.0,base_food,generated-v2
Iga Sapi Tepung Goreng,Iga Sapi Tepung Goreng,100 g,460.0,16.0,0.0,80.0,0.0,50,0.0,base_food,generated-v2
Lidah Sapi Rebus,Lidah Sapi Rebus,100 g,210.0,18.0,0.0,15.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Kukus,Lidah Sapi Kukus,100 g,220.5,18.4,0.0,15.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Bakar,Lidah Sapi Bakar,100 g,241.5,18.9,0.0,18.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Goreng,Lidah Sapi Goreng,100 g,378.0,15.3,0.0,60.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Tumis,Lidah Sapi Tumis,100 g,315.0,16.2,0.0,45.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Panggang,Lidah Sapi Panggang,100 g,252.0,19.4,0.0,19.5,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Pepes,Lidah Sapi Pepes,100 g,231.0,18.9,0.0,16.5,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Bacem,Lidah Sapi Bacem,100 g,273.0,16.2,0.0,16.5,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Balado,Lidah Sapi Balado,100 g,294.0,16.6,0.0,37.5,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Rica-Rica,Lidah Sapi Rica-Rica,100 g,283.5,16.7,0.0,34.5,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Kecap,Lidah Sapi Kecap,100 g,273.0,17.1,0.0,21.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Semur,Lidah Sapi Semur,100 g,283.5,16.7,0.0,27.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Opor,Lidah Sapi Opor,100 g,304.5,16.2,0.0,45.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Gulai,Lidah Sapi Gulai,100 g,315.0,15.8,0.0,52.5,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Kari,Lidah Sapi Kari,100 g,304.5,16.2,0.0,48.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Asam Manis,Lidah Sapi Asam Manis,100 g,262.5,17.1,0.0,22.5,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Saus Tiram,Lidah Sapi Saus Tiram,100 g,273.0,18.0,0.0,24.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Lada Hitam,Lidah Sapi Lada Hitam,100 g,262.5,18.0,0.0,27.0,0.0,55,0.0,base_food,generated-v2
Lidah Sapi Tepung Goreng,Lidah Sapi Tepung Goreng,100 g,420.0,14.4,0.0,75.0,0.0,55,0.0,base_food,generated-v2
