name_id,name,serving_size,calories,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,food_type,source
Daun Jambu Mete muda,Daun Jambu Mete muda,1 porsi,73.0,4.6,16.2,0.5,0.0,0.0,0.0,base_food,nutrition.csv
Daun Kacang Panjang,Daun Kacang Panjang,1 porsi,34.0,4.1,5.8,0.4,0.0,0.0,0.0,base_food,nutrition.csv
Daun Kacang Panjang kukus,Daun Kacang Panjang kukus,1 porsi,40.0,3.7,8.0,0.3,0.0,0.0,0.0,base_food,nutrition.csv
Daun Katuk,Daun Katuk,1 porsi,59.0,4.8,11.0,1.0,0.0,0.0,0.0,base_food,nutrition.csv
Daun Kecipir,Daun Kecipir,1 porsi,47.0,5.0,8.5,0.5,0.0,0.0,0.0,base_food,nutrition.csv
Daun Kelor,Daun Kelor,1 porsi,82.0,6.7,14.3,1.7,0.0,0.0,0.0,base_food,nutrition.csv
Daun Labu Siam,Daun Labu Siam,1 porsi,60.0,4.0,4.7,0.4,0.0,0.0,0.0,base_food,nutrition.csv
Daun Singkong,Daun Singkong,1 porsi,73.0,6.8,13.0,1.2,0.0,0.0,0.0,base_food,nutrition.csv
Daun Singkong lodeh,Daun Singkong lodeh,1 porsi,55.0,4.0,8.5,0.5,0.0,0.0,0.0,base_food,nutrition.csv
Daun Singkong rebus,Daun Singkong rebus,1 porsi,31.0,3.7,4.8,0.6,0.0,0.0,0.0,base_food,nutrition.csv
"Daun jambu mente muda, segar","Daun jambu mente muda, segar",0.70 g,78.0,4.6,16.2,0.5,0.0,14.0,3.0,base_food,nilai-gizi.csv
"Daun kacang panjang, segar","Daun kacang panjang, segar",1.10 g,30.0,3.1,5.8,0.3,0.0,7.0,1.7,base_food,nilai-gizi.csv
Daun katuk rebus,Daun katuk rebus,1 porsi,53.0,5.3,9.1,0.9,0.0,0.0,0.0,base_food,nutrition.csv
"Daun kecipir, segar","Daun kecipir, segar",1 g,52.0,5.0,8.5,0.5,0.0,6.0,0.0,base_food,nilai-gizi.csv
Daun kubis segar,Daun kubis segar,1 porsi,51.0,2.5,8.0,1.1,0.0,0.0,0.0,base_food,nutrition.csv
"Daun kubis, kol, segar","Daun kubis, kol, segar",2.20 g,51.0,2.5,8.0,1.1,0.0,50.0,3.4,base_food,nilai-gizi.csv
"Daun labu siam, segar","Daun labu siam, segar",1.20 g,34.0,4.0,4.7,0.4,0.0,16.0,3.5,base_food,nilai-gizi.csv
Daun pare segar,Daun pare segar,1 porsi,49.0,2.7,8.4,1.0,0.0,0.0,0.0,base_food,nutrition.csv
"Daun pare, segar","Daun pare, segar",1.60 g,49.0,2.7,8.4,1.0,0.0,7.0,3.0,base_food,nilai-gizi.csv
Daun pepaya segar,Daun pepaya segar,1 porsi,87.0,8.0,11.9,2.0,0.0,0.0,0.0,base_food,nutrition.csv
"Daun pepaya, segar","Daun pepaya, segar",2.70 g,87.0,8.0,11.9,2.0,0.0,4.0,1.5,base_food,nilai-gizi.csv
Daun singkong ambon segar,Daun singkong ambon segar,1 porsi,144.0,12.7,25.2,1.2,0.0,0.0,0.0,base_food,nutrition.csv
"Daun singkong ambon, segar","Daun singkong ambon, segar",2.90 g,144.0,12.7,25.2,1.2,0.0,44.0,10.2,base_food,nilai-gizi.csv
Daun singkong ampenan segar,Daun singkong ampenan segar,1 porsi,50.0,6.2,7.1,1.1,0.0,0.0,0.0,base_food,nutrition.csv
"Daun singkong ampenan, segar","Daun singkong ampenan, segar",1.20 g,50.0,6.2,7.1,1.1,0.0,49.0,2.4,base_food,nilai-gizi.csv
Daun singkong kopang segar,Daun singkong kopang segar,1 porsi,74.0,6.3,10.7,0.7,0.0,0.0,0.0,base_food,nutrition.csv
"Daun singkong kopang, segar","Daun singkong kopang, segar",1.20 g,74.0,6.3,10.7,0.7,0.0,32.0,4.6,base_food,nilai-gizi.csv
Daun talas rebus,Daun talas rebus,1 porsi,27.0,1.3,5.9,0.2,0.0,0.0,0.0,base_food,nutrition.csv
Duku,Duku,1 porsi,63.0,1.0,16.1,0.2,0.0,0.0,0.0,base_food,nutrition.csv
Durian,Durian,1 porsi,134.0,2.5,28.0,3.0,0.0,0.0,0.0,base_food,nutrition.csv
"Durian, segar","Durian, segar",8 g,134.0,2.5,28.0,3.0,0.0,1.0,3.5,base_food,nilai-gizi.csv
Enting-enting gepuk kacang tanah,Enting-enting gepuk kacang tanah,1.40 g,524.0,13.3,52.0,29.2,0.0,0.0,0.2,base_food,nilai-gizi.csv
Es Jeruk Manis,Es Jeruk Manis,1 gelas (250ml),95.0,0.5,24.2,0.2,23.5,5.0,0.2,base_food,makanan-lokal.csv
Es Kacang Merah,Es Kacang Merah,1 gelas (250ml),145.0,3.5,28.5,2.2,22.8,35.0,2.5,base_food,makanan-lokal.csv
Es Melon,Es Melon,1 gelas (250ml),78.0,0.5,19.5,0.2,18.2,8.0,0.5,base_food,makanan-lokal.csv
Es krim Diamond durian,Es krim Diamond durian,2 g,100.0,2.0,12.0,6.0,9.0,0.0,0.0,base_food,nilai-gizi.csv
Es krim Diamond kacang hijau,Es krim Diamond kacang hijau,4 g,220.0,4.0,12.0,11.0,8.0,0.0,0.0,base_food,nilai-gizi.csv
Frisian Flag California Stroberi Rendah Lemak,Frisian flag california strawberry low fat,7 g,150.0,7.0,24.0,2.5,22.0,125.0,0.0,base_food,nilai-gizi.csv
Getuk pisang,Getuk pisang,0.70 g,144.0,1.1,34.1,0.4,0.0,0.0,0.4,base_food,nilai-gizi.csv
Ikan Bakar Jimbaran,Ikan Bakar Jimbaran,1 ekor (200g),245.0,38.5,2.1,10.8,1.2,350.0,0.5,base_food,makanan-lokal.csv
Indofood Saos Tomat (135 ml),Indofood Saos Tomat (135 ml),0 g,20.0,0.0,5.0,0.0,4.0,400.0,0.0,base_food,nilai-gizi.csv
Jagung Rebus,Jagung Rebus,1 porsi,175.0,1.8,35.0,1.8,0.0,0.0,0.0,base_food,nutrition.csv
Jambu Air,Jambu Air,1 porsi,46.0,0.6,11.8,0.0,0.0,0.0,0.0,base_food,nutrition.csv
Jambu Biji,Jambu Biji,1 porsi,49.0,0.9,12.2,0.3,0.0,0.0,0.0,base_food,nutrition.csv
Jambu Bol,Jambu Bol,1 porsi,56.0,0.6,14.2,0.3,0.0,0.0,0.0,base_food,nutrition.csv
Jambu Monyet buah,Jambu Monyet buah,1 porsi,64.0,0.7,15.8,0.6,0.0,0.0,0.0,base_food,nutrition.csv
"Jambu air, segar","Jambu air, segar",0.80 g,46.0,0.6,11.8,0.2,0.0,11.0,2.1,base_food,nilai-gizi.csv
Jambu biji putih tidak berbiji,Jambu biji putih tidak berbiji,0.60 g,61.0,0.9,15.4,0.3,0.0,20.0,4.5,base_food,nilai-gizi.csv
"Jambu bool, segar","Jambu bool, segar",0.80 g,49.0,2.3,9.6,0.2,0.0,1.0,3.5,base_food,nilai-gizi.csv
"Jambu monyet, segar","Jambu monyet, segar",0.30 g,64.0,0.7,15.8,0.6,0.0,12.0,1.2,base_food,nilai-gizi.csv
Jantung Pisang segar,Jantung Pisang segar,1 porsi,31.0,1.2,7.1,0.3,0.0,0.0,0.0,base_food,nutrition.csv
Jantung pisang segar,Jantung pisang segar,1.20 g,32.0,1.2,7.1,0.3,0.0,3.0,3.2,base_food,nilai-gizi.csv
Jasjus Rasa Anggur,Jasjus Rasa Anggur,0 g,25.0,0.0,6.0,0.0,5.0,15.0,0.0,base_food,nilai-gizi.csv
Jeruk Bali,Jeruk Bali,1 porsi,48.0,0.6,12.4,0.2,0.0,0.0,0.0,base_food,nutrition.csv
Jeruk Garut,Jeruk Garut,1 porsi,44.0,0.8,10.9,0.3,0.0,0.0,0.0,base_food,nutrition.csv
Jeruk Kalamansi segar,Jeruk Kalamansi segar,1 porsi,39.0,0.3,8.9,0.3,0.0,0.0,0.0,base_food,nutrition.csv
"Jeruk Kalamansi, segar","Jeruk Kalamansi, segar",0.40 g,39.0,0.3,8.9,0.3,0.0,3.0,2.3,base_food,nilai-gizi.csv
Jeruk Manis,Jeruk Manis,1 porsi,45.0,0.9,11.2,0.2,0.0,0.0,0.0,base_food,nutrition.csv
Jeruk Nipis,Jeruk Nipis,1 porsi,37.0,0.8,12.3,0.1,0.0,0.0,0.0,base_food,nutrition.csv
"Jeruk bali, segar","Jeruk bali, segar",0.50 g,48.0,0.6,12.4,0.2,0.0,21.0,0.8,base_food,nilai-gizi.csv
Jeruk banjar segar,Jeruk banjar segar,1 porsi,61.0,0.8,14.1,0.2,0.0,0.0,0.0,base_food,nutrition.csv
"Jeruk banjar, segar","Jeruk banjar, segar",0.40 g,61.0,0.8,14.1,0.2,0.0,3.0,5.4,base_food,nilai-gizi.csv
Jeruk garut-keprok,Jeruk garut-keprok,0.70 g,44.0,0.8,10.9,0.3,0.0,5.0,1.6,base_food,nilai-gizi.csv
"Jeruk manis, segar","Jeruk manis, segar",0.50 g,45.0,0.9,11.2,0.2,0.0,4.0,1.4,base_food,nilai-gizi.csv
"Jeruk nipis, segar","Jeruk nipis, segar",0.40 g,44.0,0.5,10.0,0.2,0.0,3.0,0.4,base_food,nilai-gizi.csv
Jeruk ragi segar,Jeruk ragi segar,1 porsi,49.0,0.7,11.1,0.2,0.0,0.0,0.0,base_food,nutrition.csv
"Jeruk ragi, segar","Jeruk ragi, segar",0.40 g,49.0,0.7,11.1,0.2,0.0,4.0,0.5,base_food,nilai-gizi.csv
Jus Alpukat,Jus Alpukat,1 gelas (250ml),195.0,2.5,18.5,12.8,14.5,8.0,3.5,base_food,makanan-lokal.csv
Jus Jambu,Jus Jambu,1 gelas (250ml),105.0,1.5,25.2,0.5,22.5,8.0,3.5,base_food,makanan-lokal.csv
Jus Jeruk,Jus Jeruk,1 gelas (250ml),95.0,1.2,22.8,0.2,20.5,5.0,0.5,base_food,makanan-lokal.csv
Jus Mangga,Jus Mangga,1 gelas (250ml),125.0,1.2,30.5,0.5,28.8,5.0,1.8,base_food,makanan-lokal.csv
Jus Tomat,Jus Tomat,1 gelas (250ml),65.0,1.5,13.5,0.2,10.8,12.0,1.5,base_food,makanan-lokal.csv
Kacang Belimbing rebus,Kacang Belimbing rebus,1 porsi,204.0,16.9,17.5,8.8,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Belimbing tempe,Kacang Belimbing tempe,1 porsi,212.0,17.5,12.9,10.0,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Kedelai basah,Kacang Kedelai basah,1 porsi,286.0,30.2,30.1,15.6,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Kedelai kukus,Kacang Kedelai kukus,1 porsi,75.0,4.1,10.7,2.1,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Merah,Kacang Merah,1 porsi,336.0,23.1,59.5,1.7,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Merah kering rebus,Kacang Merah kering rebus,1 porsi,158.0,10.3,28.2,0.9,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Merah segar rebus,Kacang Merah segar rebus,1 porsi,144.0,10.0,24.7,1.0,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Panjang,Kacang Panjang,1 porsi,44.0,2.7,7.8,0.3,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Panjang biji,Kacang Panjang biji,1 porsi,357.0,17.3,70.0,1.5,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Panjang kukus,Kacang Panjang kukus,1 porsi,39.0,3.0,7.6,0.6,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Panjang tumis,Kacang Panjang tumis,1 porsi,150.0,2.5,7.0,12.5,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Tanah,Peanut,8.50 g,567.0,25.8,16.13,49.24,0.0,0.0,8.5,base_food,nilai-gizi.csv
Kacang Tanah Rebus,Kacang Tanah Rebus,1 porsi,385.0,14.0,13.0,31.0,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Tanah atom,Kacang Tanah atom,1 porsi,535.0,27.8,28.8,38.1,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Tanah kacang sari,Kacang Tanah kacang sari,1 porsi,561.0,25.5,26.0,43.8,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Tanah rebus berkulit,Kacang Tanah rebus berkulit,1 porsi,360.0,13.5,12.8,31.2,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Tanah rempeyek,Kacang Tanah rempeyek,1 porsi,513.0,17.5,44.3,32.5,0.0,0.0,0.0,base_food,nutrition.csv
Kacang Tanah sangan berselaput,Kacang Tanah sangan berselaput,1 porsi,569.0,28.8,15.8,48.4,0.0,0.0,0.0,base_food,nutrition.csv
Kacang belimbing (kecipir) kering,Kacang belimbing (kecipir) kering,1 porsi,400.0,34.4,34.1,16.9,0.0,0.0,0.0,base_food,nutrition.csv
"Kacang belimbing (kecipir), kering","Kacang belimbing (kecipir), kering",4.20 g,400.0,34.4,34.1,16.9,0.0,37.0,10.7,base_food,nilai-gizi.csv
Kacang belimbing rebus,Kacang belimbing rebus,1.20 g,204.0,16.9,17.5,8.8,0.0,43.0,4.8,base_food,nilai-gizi.csv
Kacang hijau kering,Kacang hijau kering,1 porsi,323.0,22.9,56.8,1.5,0.0,0.0,0.0,base_food,nutrition.csv
Kacang hijau rebus,Kacang hijau rebus,1.20 g,109.0,8.7,18.3,0.5,0.0,447.0,1.5,base_food,nilai-gizi.csv
"Kacang hijau var. Bakti, kering","Kacang hijau var. Bakti, kering",3.10 g,350.0,17.1,70.7,1.8,0.0,46.0,5.7,base_food,nilai-gizi.csv
"Kacang hijau var. Siwalik, kering","Kacang hijau var. Siwalik, kering",3.70 g,339.0,20.8,64.6,2.1,0.0,45.0,7.4,base_food,nilai-gizi.csv
Kacang hijau var. bakti kering,Kacang hijau var. bakti kering,1 porsi,350.0,17.1,70.7,1.8,0.0,0.0,0.0,base_food,nutrition.csv
Kacang hijau var. siwalik kering,Kacang hijau var. siwalik kering,1 porsi,339.0,20.8,64.6,2.1,0.0,0.0,0.0,base_food,nutrition.csv
"Kacang hijau, kering","Kacang hijau, kering",3.30 g,323.0,22.9,56.8,1.5,0.0,42.0,7.5,base_food,nilai-gizi.csv
Kacang kedelai goreng,Kacang kedelai goreng,3.70 g,521.0,32.2,22.9,37.7,0.0,3492.0,7.6,base_food,nilai-gizi.csv
Kacang kedelai kering,Kacang kedelai kering,1 porsi,381.0,40.4,24.9,16.7,0.0,0.0,0.0,base_food,nutrition.csv
Kacang kedelai rebus,Kacang kedelai rebus,2.10 g,189.0,20.2,12.7,8.2,0.0,181.0,1.6,base_food,nilai-gizi.csv
Kacang kedelai segar,Kacang kedelai segar,4.10 g,286.0,30.2,30.1,15.6,0.0,28.0,2.9,base_food,nilai-gizi.csv
"Kacang kedelai, kering","Kacang kedelai, kering",5.50 g,381.0,40.4,24.9,16.7,0.0,210.0,3.2,base_food,nilai-gizi.csv
Kacang merah / banda,Kacang merah / banda,3.20 g,350.0,13.9,66.9,3.0,0.0,19.0,26.3,base_food,nilai-gizi.csv
Kacang merah kering,Kacang merah kering,2.90 g,314.0,22.1,56.2,1.1,0.0,11.0,4.0,base_food,nilai-gizi.csv
Kacang merah segar,Kacang merah segar,1 porsi,171.0,11.0,28.0,2.2,0.0,0.0,0.0,base_food,nutrition.csv
Kacang merah tua kering,Kacang merah tua kering,1 porsi,280.0,16.7,63.2,1.6,0.0,0.0,0.0,base_food,nutrition.csv
Kacang mete/biji jambu monyet,Kacang mete/biji jambu monyet,2 g,616.0,16.3,28.7,48.4,0.0,26.0,0.9,base_food,nilai-gizi.csv
Kacang mete/biji jambu monyet goreng,Kacang mete/biji jambu monyet goreng,2.50 g,629.0,20.4,19.8,56.3,0.0,13.0,1.1,base_food,nilai-gizi.csv
Kacang mete/biji jambu monyet segar,Kacang mete/biji jambu monyet segar,1 porsi,616.0,16.3,28.7,48.4,0.0,0.0,0.0,base_food,nutrition.csv
Kacang panjang biji,Kacang panjang biji,0.40 g,357.0,17.3,68.6,1.5,0.0,16.0,10.6,base_food,nilai-gizi.csv
"Kacang panjang, segar","Kacang panjang, segar",0.50 g,31.0,2.3,5.3,0.1,0.0,30.0,2.7,base_food,nilai-gizi.csv
Kacang tanah goreng,Kacang tanah goreng,1 porsi,564.0,25.5,25.5,44.4,0.0,0.0,0.0,base_food,nutrition.csv
Kacang tanah kering,Kacang tanah kering,1 porsi,525.0,27.9,17.4,42.7,0.0,0.0,0.0,base_food,nutrition.csv
Kacang tanah rebus dengan kulit,Kacang tanah rebus dengan kulit,2.30 g,360.0,13.5,12.8,31.2,0.0,32.0,0.0,base_food,nilai-gizi.csv
Kacang tanah sangan,Kacang tanah sangan,2.10 g,560.0,29.5,24.1,43.0,0.0,34.0,2.9,base_food,nilai-gizi.csv
Kacang tanah sangan tanpa selaput,Kacang tanah sangan tanpa selaput,2.70 g,559.0,26.9,23.6,44.2,0.0,33.0,2.6,base_food,nilai-gizi.csv
Kacang tanah sari,Kacang tanah sari,2.60 g,561.0,25.5,26.0,43.8,0.0,0.0,2.2,base_food,nilai-gizi.csv
Kaparende sayur,Kaparende sayur,1 porsi,38.0,2.4,2.6,2.0,0.0,0.0,0.0,base_food,nutrition.csv
"Kaparende, sayur","Kaparende, sayur",1.30 g,38.0,2.4,2.6,2.0,0.0,170.0,1.5,base_food,nilai-gizi.csv
Kecipir biji,Kecipir biji,1 porsi,405.0,32.8,36.5,17.0,0.0,0.0,0.0,base_food,nutrition.csv
Kecipir buah muda,Kecipir buah muda,1 porsi,35.0,2.9,0.8,0.2,0.0,0.0,0.0,base_food,nutrition.csv
Keju Kacang Tanah,Keju Kacang Tanah,1 porsi,590.0,27.0,20.9,49.0,0.0,0.0,0.0,base_food,nutrition.csv
Kembang tahu rebus,Kembang tahu rebus,0.80 g,90.0,10.7,4.7,4.0,0.0,0.0,0.0,base_food,nilai-gizi.csv
Ketan hitam matang,Ketan hitam matang,1 porsi,181.0,4.0,37.3,1.2,0.0,0.0,0.0,base_food,nutrition.csv
"Ketan hitam, matang","Ketan hitam, matang",0.60 g,181.0,4.0,37.3,1.2,0.0,9.0,0.3,base_food,nilai-gizi.csv
"Ketan hitam, tapai","Ketan hitam, tapai",0.60 g,166.0,3.8,34.4,1.0,0.0,5.0,0.3,base_food,nilai-gizi.csv
Ketan putih matang,Ketan putih matang,1 porsi,163.0,3.0,35.7,0.4,0.0,0.0,0.0,base_food,nutrition.csv
"Ketan putih, matang","Ketan putih, matang",0.20 g,163.0,3.0,35.7,0.4,0.0,8.0,0.2,base_food,nilai-gizi.csv
"Ketan putih, tapai","Ketan putih, tapai",0.10 g,172.0,3.0,37.5,0.5,0.0,1.0,0.6,base_food,nilai-gizi.csv
"Ketimun, mentimun, timun, segar","Ketimun, mentimun, timun, segar",0.30 g,8.0,0.2,1.4,0.2,0.0,2.0,0.3,base_food,nilai-gizi.csv
Kewpie Tomat pedas,Kewpie Tomat pedas,1 g,80.0,1.0,5.0,6.0,0.0,350.0,0.0,base_food,nilai-gizi.csv
Kolak (pisang + santan),Kolak (pisang + santan),1 mangkuk (200ml),195.0,2.8,32.5,6.8,28.5,35.0,1.5,base_food,makanan-lokal.csv
Koro Wedus buah muda,Koro Wedus buah muda,1 porsi,38.0,3.0,7.9,0.3,0.0,0.0,0.0,base_food,nutrition.csv
